step,observe/obs_s_theta_mean_mean,episode/success_rate,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_delta_s_mean_mean,observe/obs_step_entropy_mean_mean,val/success_rate
34,1.778580768998982,0.5234375,2.9465045402430405,3.7773389320936985,-0.3780060098677387,0.5410565908796343,
35,1.79247744552033,0.6875,2.8276582683203744,3.69920082266132,-0.3675294758634295,0.5071866967045935,
36,1.7800512659465468,0.4921875,2.922698454366422,3.910127785193789,-0.3829699558366601,0.5034380949201638,
37,1.7049508687508266,0.640625,2.913579737592954,3.809931410104036,-0.37610623770885,0.5365146310427614,
38,1.780543917490725,0.703125,2.7355147226938112,3.683787575848068,-0.3812514354576342,0.5114239633923197,
39,1.871066455346904,0.7109375,2.7843032020464307,3.7830381060872846,-0.3779625300387407,0.5212857402718024,
40,1.7280952016221656,0.5234375,2.857774944503843,3.761003062711097,-0.3824923172584826,0.5264367587110933,0.609375
41,1.7582563100991468,0.671875,2.8625543202589534,3.75131346982172,-0.397787614042328,0.4788848930163242,
42,1.7004046585418688,0.5546875,2.8775748171938176,3.850485931761796,-0.3584345418770045,0.4885941985412501,
43,1.9145425237117704,0.515625,2.838219589961227,3.798331731533193,-0.4268964565024367,0.5641170040719717,
44,1.6169275661252331,0.6171875,2.8414411108460627,3.71990446394193,-0.3575273813105349,0.5223288521710856,
45,1.8085535660972192,0.53125,2.6391769280307926,3.633950033588917,-0.4315101585187476,0.5354522857714983,
46,1.6704499152261905,0.7734375,2.574854164442513,3.44164516588419,-0.3542007312650909,0.5348998888102042,
47,1.7395091286587692,0.5625,2.719452598145889,3.7582868565805256,-0.3892827309711169,0.5941592105553033,
48,1.6883643341523291,0.65625,2.7996841557479155,3.803517110443984,-0.3641423939512494,0.5359235405204041,
49,1.7917922809315807,0.6171875,3.016080566962046,3.93779775913572,-0.4008188114093994,0.5155967669152233,
50,1.8426886838121932,0.546875,2.694804981624817,3.7769007023478696,-0.4008252004164276,0.570908458370147,0.65625
51,1.7591916252038813,0.703125,2.6343613758441418,3.705341447216387,-0.3850278058856465,0.5932624408854351,
52,1.6034818169070697,0.625,2.64251264597624,3.673565772580332,-0.3694908794789551,0.5936228528817082,
53,1.7663742470773365,0.5703125,2.6490739477209417,3.654232336249312,-0.3940764395434684,0.552139457061832,
54,1.839958119860084,0.6796875,2.9867221388392085,3.9080748045151785,-0.3973592110267331,0.5559258489676202,
55,1.7940045979525374,0.84375,2.950323140126949,3.860694968268614,-0.3764106965645188,0.5219203514980936,
56,1.750597480909507,0.6640625,2.7665746718800315,3.745223268726841,-0.3744966692361099,0.55819293394743,
57,1.8268137989289963,0.75,2.925890626882812,3.806805798891359,-0.3757286245154176,0.5575129300145468,
58,1.7326980965653165,0.703125,2.8673616092252945,3.870257954628739,-0.3541262428085288,0.5973283766501741,
59,1.7165033127742622,0.6953125,2.885327340989274,3.888469422635223,-0.3519677585350565,0.6067842122652759,
60,1.8559606410457536,0.6328125,2.920274730256226,3.9089541706655706,-0.3671941195788598,0.652307505400261,0.6640625
61,1.6563487924254685,0.4765625,2.9489046158527747,3.899313504096224,-0.3456540156017207,0.702125042370527,
62,1.8973111315389517,0.484375,2.772183691584764,3.847887090989389,-0.404980061824715,0.687081077650267,
63,1.7938771618511948,0.7265625,2.829034720099746,3.9152989350796608,-0.3762691365633669,0.6000580636660183,
64,1.8519232847617189,0.6484375,2.6692496959731216,3.716958603581588,-0.3834001978028585,0.5534851180600526,
65,1.7293921519461628,0.515625,2.8626421329613283,3.8769209183999065,-0.3339321616878781,0.5598339318004197,
66,1.987122788220214,0.7421875,2.922456051272872,3.872218607991402,-0.3877565618752036,0.5830649303757777,
67,1.834279444257513,0.6640625,2.864000075135014,3.865113720430859,-0.3579221183885672,0.6230328618928199,
68,1.74897549270949,0.4140625,2.9991404203290584,4.015385392098688,-0.3484273965253375,0.5916409448833292,
69,1.8112818415474587,0.53125,3.069337784949526,4.089825525153977,-0.3310940532960103,0.5978203028194805,
70,1.822901921790645,0.6875,2.834648248186568,3.885879780082697,-0.3152530965673285,0.513777062416401,0.703125
71,1.8736454510717424,0.484375,3.056594078940658,4.069313165449881,-0.336229957845678,0.5581185845282897,
72,1.8627869194363864,0.8125,3.0649839888501447,4.166639025032055,-0.3130172374682594,0.4853618652099006,
73,1.8721687595814944,0.609375,3.194509941927048,4.2419250621597335,-0.3158613958186459,0.5531364004448679,
74,1.9697457708498265,0.7734375,2.901187661186365,3.930460649697731,-0.3530040302150006,0.4957396018150272,
75,1.8253373538012445,0.65625,2.947154466100204,3.9357643721325855,-0.329725635490499,0.6107057626125295,
76,1.9060066998885048,0.515625,3.15167033352497,4.198528647888452,-0.3511344510952657,0.6945505055137848,
77,2.0011461073661576,0.6796875,3.143194186595233,4.090909672847304,-0.3434012191809834,0.6579244257126657,
78,1.7919720419593208,0.59375,3.030800106949755,4.02688755512645,-0.3253457314705166,0.6314568231427984,
79,1.8529424949870563,0.6484375,3.191100421843917,4.081974669426147,-0.3510151829645151,0.6932939887795199,
80,1.890184440978369,0.59375,3.1223785006513936,4.07559318235144,-0.3350551077617354,0.6941045247276634,0.7265625
81,1.843388456787176,0.7265625,3.207682567765005,4.183060593406359,-0.3466238908196198,0.6317577765682169,
82,1.7528595301956134,0.46875,3.147331939541295,4.096766809777667,-0.3293702567692261,0.8693234986793767,
83,1.8441449579198497,0.4296875,3.190966448274833,4.155018651919243,-0.3353481487759872,0.8221902096311647,
84,1.7643480735855372,0.515625,3.069076378263869,4.151657006923212,-0.3209320776017518,0.7993988345745796,
85,1.9026700826481528,0.75,3.0207618755036187,4.074802846492578,-0.3335468441344364,0.5638715706303022,
86,1.9982755819468665,0.5234375,2.9124679369668134,4.061286902153178,-0.3648336868300801,0.6266176213679213,
87,1.8084435840269248,0.6484375,3.006780534606272,4.050799344976743,-0.3151652700159743,0.432957541791014,
88,1.814063057126546,0.7734375,2.9506940191230653,3.9478986390697006,-0.304444984150771,0.4194283581620601,
89,1.9016405996588257,0.71875,2.980188228825752,3.9433889624017935,-0.3388075987575656,0.5238496688696335,
90,1.7389775827862657,0.546875,3.1817807914922014,4.160583260367275,-0.3211062817632766,0.660835552021581,0.734375
91,1.9669077984158496,0.734375,3.1351911732031463,4.107009261398791,-0.3382009850476226,0.6171836248549181,
92,1.7925716306952666,0.640625,3.1486383381998166,4.196750621966203,-0.3096202382668599,0.5362126221274366,
93,2.069700760442804,0.6796875,3.0978842067997903,3.965053202638116,-0.3431868047593019,0.648553008622772,
94,1.8210791883923756,0.7578125,3.333514187751072,4.294823479605839,-0.3151929112116039,0.5524861391696894,
95,1.8301572524373564,0.6875,3.261161792212598,4.24986988447407,-0.3110444330334712,0.7516452642370756,
96,1.7887573199779072,0.5859375,3.269823685150186,4.172381150565343,-0.3190822571504684,0.6518952719621893,
97,1.9936911002951,0.8046875,3.273713858829896,4.144289356190711,-0.3535996409850361,0.5218343889737298,
98,1.9332704850505489,0.6796875,3.312798048468092,4.121411800169601,-0.3341350389226609,0.7064292944451154,
99,1.8962345770553637,0.65625,3.4255845009689576,4.261907920796568,-0.3257783319636269,0.9353896471251434,
100,1.7671517238273755,0.515625,3.318992857074858,4.199997397577938,-0.3050548748802023,0.8959559463718613,0.75
101,2.0253612740768774,0.5859375,3.2316113392667223,4.091306517474974,-0.3300228328654837,0.8050322209563849,
102,1.6403402358625572,0.78125,3.27033641281984,4.17980112201379,-0.2712756351968109,0.6332341866733865,
103,1.997279326923973,0.609375,3.1736488474183715,3.995677023551737,-0.3248704393214583,0.8766088913160881,
104,1.8559035436703557,0.7734375,3.1010701727257888,3.942718495381996,-0.2941850289349401,0.6365225704036371,
105,1.67471327861427,0.8515625,3.1561498539204798,4.028268467719582,-0.2871856191570157,0.5384881963430168,
106,1.8211920345913464,0.6484375,3.1909369400112024,4.016565384293374,-0.2747968171546034,0.829499641971909,
107,1.8159558913869691,0.6640625,3.234384168428369,4.00466981290374,-0.2858041770683853,0.8302162019283059,
108,1.8426137424247624,0.7421875,3.3794665448994445,4.190167401290427,-0.2948797165808304,0.6780305896828884,
