observe_task/clean_success_rate,observe/obs_delta_s_mean_mean,val/text/tool_call_count/mean,observe_task/cool_entropy_mean,training/rollout_probs_diff_std,observe_task/heat_s_theta_mean,training/epoch,critic/score/max,perf/max_memory_allocated_gb,actor/kl_coef,actor/grad_norm,episode/length/max,timing_per_token_ms/gen,observe/failure_s_theta_mean,critic/returns/max,training/global_step,timing_s/update_actor,perf/cpu_memory_used_gb,training/rollout_probs_diff_max,episode/pick_clean_then_place_in_recep_success_rate,actor/entropy_loss,observe_task/other_entropy_mean,observe/obs_delta_s_sum_mean,observe_task/heat_entropy_mean,critic/advantages/max,episode/pick_cool_then_place_in_recep_success_rate,observe/obs_consecutive_s_mean,val/pick_two_obj_and_place_success_rate,observe/obs_consecutive_s_std,observe_task/examine_success_rate,observe/obs_s_all_theta_sum_mean,observe/obs_step_entropy_mean_std,critic/rewards/mean,observe_task/pick_place_s_theta_mean,actor/ppo_kl,observe/obs_step_entropy_min_mean,response_length/max,timing_s/old_log_prob,observe_task/cool_success_rate,global_seqlen/minmax_diff,observe/success_s_theta_mean,val/pick_heat_then_place_in_recep_success_rate,training/rollout_probs_diff_mean,perf/mfu/actor,timing_s/adv,prompt_length/clip_ratio,observe/obs_s_all_theta_sum_std,_step,observe/obs_wm_s_B_std,observe_task/pick_place_success_rate,observe_task/examine_entropy_mean,timing_s/step,observe/obs_wm_s_B_mean,actor/pg_clipfrac_lower,perf/max_memory_reserved_gb,observe_task/other_success_rate,observe/obs_s_theta_mean_mean,val/pick_cool_then_place_in_recep_success_rate,timing_per_token_ms/ref,prompt_length/min,val/pick_clean_then_place_in_recep_success_rate,observe/obs_delta_s_sum_std,episode/pick_heat_then_place_in_recep_success_rate,observe_task/other_s_theta_mean,episode/reward/min,response_length/min,observe/obs_step_entropy_std_mean,global_seqlen/balanced_max,episode/look_at_obj_in_light_success_rate,episode/valid_action_ratio,critic/rewards/max,observe/obs_s_theta_sum_std,observe/obs_s_all_theta_mean_std,episode/reward/max,observe/obs_s_ref_mean_mean,episode/length/min,response_length/mean,global_seqlen/min,timing_s/testing,perf/time_per_step,_runtime,global_seqlen/mean,val/success_rate,val/text/test_score,observe/obs_n_tokens_mean,prompt_length/mean,observe/obs_step_entropy_min_std,val/pick_and_place_success_rate,observe/obs_s_theta_mean_std,critic/returns/min,observe/obs_wm_s_mean,observe/obs_s_ref_sum_mean,_timestamp,observe/obs_n_tokens_all_mean,episode/reward/mean,observe/failure_entropy_mean,timing_s/wm_surprise,timing_s/gen,critic/score/mean,critic/advantages/mean,observe/obs_s_theta_sum_mean,episode/success_rate,actor/lr,perf/total_num_tokens,perf/throughput,global_seqlen/max,observe/success_s_theta_std,actor/kl_loss,observe_task/pick_place_entropy_mean,timing_s/reward,critic/score/min,critic/rewards/min,episode/length/mean,observe/obs_step_entropy_std_std,response_length/clip_ratio,timing_s/save_checkpoint,actor/pg_clipfrac,observe/failure_s_theta_std,global_seqlen/balanced_min,episode/pick_and_place_success_rate,val/look_at_obj_in_light_success_rate,observe_task/heat_success_rate,observe_task/clean_s_theta_mean,timing_s/ref,observe_task/examine_s_theta_mean,observe/success_entropy_mean,prompt_length/max,timing_per_token_ms/adv,observe/obs_step_entropy_max_mean,episode/pick_two_obj_and_place_success_rate,observe/obs_delta_s_mean_std,observe/obs_n_tokens_all_std,critic/advantages/min,observe/obs_wm_s_std,critic/returns/mean,observe/obs_n_tokens_std,observe_task/cool_s_theta_mean,timing_per_token_ms/update_actor,observe/obs_s_all_theta_mean_mean,observe_task/clean_entropy_mean,observe/obs_step_entropy_max_std,episode/tool_call_count/mean,observe/obs_s_ref_mean_std,observe/obs_s_ref_sum_std,actor/pg_loss,observe/obs_step_entropy_mean_mean
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,0.0,,,0.11538461538461539,,,,,,,,,,,,,,,,,,,,1649.938729682,,0.1484375,0.8633696563285834,,,,0.41935483870967744,,,,,1776335621.2683313,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.125,-0.004947944742802144,,0.6372878563780229,0.015587285161018372,,0.0,10.0,70.35148334503174,0.01,2.710175633430481,50.0,0.7925751493850421,2.4808313842610272,4.454920768737793,1.0,159.165952404961,350.4595031738281,0.6580891609191895,0.08333333333333333,0.6165990829467773,0.6041830000776509,-2.097971605217975,,4.454920768737793,0.0,0.0015536650533156157,,0.23099465505582362,0.42857142857142855,1073.7616441249847,0.12036996385697502,0.8545345664024353,2.820031207655612,0.018525522650831946,1.1013901751974354e-08,482.0,41.141923784743994,0.0,120693.0,2.620088810488888,,0.00875927321612835,0.4016747485885066,169.3174184509553,0.0,57.60780830317048,1,2.944892874954915,0.0,0.6066575812246011,1099.232190005947,7.0865378229392935,0.00020087585764248735,115.75,0.18095238095238095,2.4936029552805663,,0.015095274572648162,286.0,,2.4602190733664493,0.0,2.4832494799328835,0.0,53.0,0.6401252190926638,428449.0,0.25,0.374150812625885,10.0,57.60780830317048,0.4231508254732176,10.0,2.498550900023368,4.0,137.28482055664062,364949.0,,1099.232190005947,2714.826156726,428448.875,,,444.8468070652174,444.8468017578125,4.1280619005850906e-07,,0.4231508254732176,-1.1846396923065186,5.823703933755219,1075.8596157302027,1776336721.1485515,444.8468070652174,1.796875,0.6094158285463935,34.007789321709424,640.6646482278593,0.8545345664024353,0.020652014762163162,1073.7616441249847,0.1796875,1e-06,3427591.0,389.7710410006116,485642.0,0.239880325243078,0.03696022927761078,0.5570548161938416,2.288330764975399,-0.10000000149011612,-0.10000000149011612,45.171875,0.07333478468449774,0.0,,0.02986674559424105,0.4353706941664268,428448.0,0.625,,,2.382367124633555,51.74042726773769,2.8118607841722967,0.5545805043920323,1011.0,0.04939837292458619,2.5057462685458036,0.0,0.005750714503652116,89.83879151720909,-1.1846396923065186,2.62100127819929,0.020652014762163162,89.83879151720909,2.2519832293907216,0.04643668174089645,2.4936029552805663,0.6129271251426626,0.38183569741939194,0.0,0.4244199235515674,57.72752013574305,-0.09186823799720277,0.6043867736816932
0.25,-0.03982236340346059,,0.5688908025228158,0.015972696244716644,1.4655359345682124,1.0,10.0,73.90514898300171,0.01,2.3939160458419635,50.0,0.7587658350732025,1.9484846931128725,6.0166802406311035,2.0,178.9361315369606,352.59060287475586,0.6418384313583374,0.14583333333333334,0.5683076977729797,0.5538807798202346,-22.080192410427593,0.6023912555065708,6.0166802406311035,0.125,0.0012170949090155032,,0.21319341609369322,,1083.0993787102077,0.11430306376671578,0.8986073136329651,2.4435221848468673,0.004963573016741817,0.0,395.0,44.31742877792567,0.10526315789473684,176875.0,1.941732512693693,,0.008780194446444511,0.4397868495347893,154.7441806648858,0.0,62.888853471472416,2,2.2183510682048113,0.0,,1063.6519104749896,4.815608339525921,3.9366672433021925e-05,115.75,0.20238095238095238,1.9478757583637922,,0.010577737126423173,348.0,,4.814349870252202,0.125,1.9503544666650159,0.0,51.0,0.6211402063338977,526137.0,,0.9677309989929199,10.0,62.888853471472416,0.37940144057488046,10.0,1.987698121767253,7.0,134.93206787109375,437439.0,,1063.6519104749896,3672.418526001,526137.0,,,579.9279891304348,579.927978515625,0.0,,0.37940144057488046,-7.123554706573486,4.01140417828751,1105.1795711206353,1776337786.0358932,579.9279891304348,1.953125,0.5584515576317436,35.28287203935906,602.8242806489579,0.8986073136329651,-0.007612885441631079,1083.0993787102077,0.1953125,1e-06,4209096.0,494.65148778329717,614314.0,0.4528870290527063,0.03054768592119217,0.5121136802511338,2.1937940819188952,-0.10000000149011612,-0.10000000149011612,44.2265625,0.07394615043618245,0.0,,0.028900738198148167,0.3713204557696991,526137.0,0.5416666666666666,,0.5,2.016676316725317,44.52271102787927,,0.5156987657149633,1040.0,0.03676423171742478,2.425016328368498,0.0,0.011743307828503389,129.76882629934116,-7.123554706573486,2.2888686953368516,-0.007612885441631079,129.76882629934116,1.826015104280546,0.0425117724891427,1.9478757583637922,0.5462858919885808,0.36227628752011437,0.0,0.38758759673388515,63.75030469646208,0.021114781893708783,0.5545959644748465
0.5,-0.07517143150445792,,0.5346375399045815,0.013630681671202183,2.060366003072754,2.0,10.0,73.90514898300171,0.01,2.0037397749367214,50.0,0.7246182582608249,2.176367110450344,5.485067844390869,3.0,144.0084586343728,349.60229873657227,0.467782199382782,0.375,0.562401533126831,0.5516836446956257,-36.09021739732651,0.5137334742181969,5.485067844390869,,0.001465550202153832,,0.2254769198652359,,1046.739364862442,0.11476337254607301,2.1202194690704346,2.0044869907257423,0.003848823568443463,0.0,463.0,36.69886653870344,0.6666666666666666,116234.0,2.140448257743953,,0.0074986950494349,0.4454796199404224,138.22092549595982,0.0,60.41950884588411,3,2.0939260839860157,0.0,,955.85458818404,4.702460022787342,2.1062094934417735e-05,115.75,0.2765957446808511,2.168750389452337,,0.010824736078232306,327.0,,5.691477005749951,0.575,2.1679478179628613,0.0,53.0,0.6284493068066824,429542.0,,0.9968377947807312,10.0,60.41950884588411,0.31332852886316004,10.0,2.243921820956795,5.0,144.50558471679688,376262.0,,955.85458818404,4680.147033882,429541.125,,,494.69252232142856,494.6925354003906,0.0,,0.31332852886316004,-20.244407653808594,3.8641927988473546,1082.8295822597686,1776338743.6288166,494.69252232142856,3.59375,0.5582018717173646,34.116292839404196,562.928389349021,2.1202194690704346,-0.005073432344943285,1046.739364862442,0.359375,1e-06,3436329.0,449.3791527601019,492496.0,0.3248730966591028,0.019424760714173317,0.5648647108498741,1.9664661809802055,-0.10000000149011612,-0.10000000149011612,40.6875,0.07585130906624672,0.0,,0.02164404013282841,0.30970688993052975,429541.0,0.4583333333333333,,0.875,2.2512556752337924,37.19735450297594,,0.5117706713707824,1013.0,0.040223426073568574,2.457918586298114,0.0,0.017372596126632972,90.07087646040883,-20.244407653808594,2.1633405367999345,-0.005073432344943285,90.07087646040883,2.1123718881733797,0.04190764581458085,2.168750389452337,0.5426486605557345,0.3617250113854768,0.0,0.32623396153704776,61.46301220299151,0.05220190107467629,0.5483559698581563
0.5,-0.09447541697813112,,0.519339678519302,0.01398749090731144,1.4686785277748087,3.0,10.0,73.90514898300171,0.01,1.7355755081302242,50.0,0.8799865828087751,2.230185580326083,8.378619194030762,4.0,135.9327281783335,350.23318099975586,0.47664421796798706,0.6875,0.5771446228027344,0.5646796521249708,-43.952358735235116,0.5504121494293213,8.378619194030762,0.875,0.0015266290519966627,,0.23569080443673626,0.1111111111111111,1034.057202251334,0.12212513950788943,1.3278577327728271,2.2700531163449837,0.003225998059956749,2.3528149253443666e-09,403.0,34.43956872075796,0.75,90204.0,2.0955328010333325,,0.00781765766441822,0.41809532810256317,144.5140533191152,0.0,61.63905051786951,4,2.0789038462022607,0.5454545454545454,0.6053698526193411,1005.8169023487717,4.504637333117181,0.0,115.75,0.2988505747126437,2.2123020080762643,,0.011136060087975411,261.0,,6.861320027066339,,2.2186337937438907,0.0,52.0,0.6300910327914416,380263.0,0.125,0.9973273277282715,10.0,61.63905051786951,0.3175816276601462,10.0,2.3067774250543955,4.0,145.0032958984375,338008.0,,1005.8169023487717,5694.141918582,380262.875,,,480.4290707236842,480.4290771484375,9.470871619951314e-08,,0.3175816276601462,-19.996055603027344,3.6270627130686894,1078.009560986569,1776339751.3566403,480.4290707236842,3.4375,0.5761130939817587,33.5133509170264,620.6510169086978,1.3278577327728271,-0.02165897563099861,1034.057202251334,0.34375,1e-06,3042103.0,378.0637152865642,428212.0,0.40577284016877563,0.021596604958176613,0.5619833316744828,2.084452469833195,-0.10000000149011612,-0.10000000149011612,37.8515625,0.07591286977382315,0.0,,0.021496387933822053,0.29779160613057837,380262.0,0.575,,0.0,2.2118904450826844,33.877041801810265,2.2994411619053925,0.4759456680931912,1103.0,0.04750465494400262,2.46414310916474,0.020833333333333332,0.021172637256597404,97.26223489854021,-19.996055603027344,2.192445590685,-0.02165897563099861,97.26223489854021,1.7656791127498066,0.04468380202061978,2.2123020080762643,0.5235513894344276,0.3682006227765617,0.0,0.33309018687471414,62.89152243169239,-0.02122556883841753,0.5628096077309334
0.2222222222222222,-0.12342843963796564,,0.5561988754388021,0.013741720467805862,2.0469219130839655,4.0,10.0,75.1925482749939,0.01,1.7212694122603065,50.0,0.8673393038944596,2.0447348327352692,6.342307090759277,5.0,139.28856197139248,358.00597381591797,0.4598390460014343,0.0,0.5477104783058167,0.5340923694294565,-61.039348338779654,0.4894830973020622,6.342307090759277,0.625,0.0038926203983538996,,0.21072892216561465,0.6666666666666666,1029.9935122665606,0.11953063336438184,2.174999952316284,2.178218411164268,0.004948073852574453,0.0,501.0,37.075545391999185,0.5,160944.0,2.158401945649425,,0.007526881527155638,0.43325482486509015,148.91843030322343,0.0,62.11733564572992,5,2.053748428863978,1.0,0.5166129001759385,1012.4211181071587,4.509175435958528,3.1558464367040675e-05,115.75,0.3617021276595745,2.0694592993189818,,0.011104912249344777,309.0,,8.12523552722017,0.4375,2.064469522984181,0.0,60.0,0.6178168784459367,403391.0,0.5833333333333334,0.9983552694320679,10.0,62.11733564572992,0.36283066381281753,10.0,2.1928877389569474,4.0,145.6916046142578,348736.0,,1012.4211181071587,6678.156455462,403390.375,,,517.7793996710526,517.7794189453125,0.0,,0.36283066381281753,-20.244407653808594,3.662399373060141,1091.0328606053401,1776340765.352106,517.7793996710526,4.21875,0.5460769776225528,33.8813066566363,614.6347936689854,2.174999952316284,-0.006819713395088911,1029.9935122665606,0.421875,1e-06,3227123.0,398.44128869435883,509680.0,0.24114432811169725,0.03384636342525482,0.4781565696001053,2.066630399785936,-0.10000000149011612,-0.10000000149011612,36.8828125,0.07789092804211864,0.0,,0.02274251664302459,0.3863498010425271,403390.0,0.7083333333333334,,1.0,2.0691749239413806,35.83691773284227,2.366605456507409,0.49016214648018713,1193.0,0.04614587987604545,2.431879458850936,0.03125,0.029180761750920374,122.98411179864966,-20.244407653808594,2.1090710422792047,-0.006819713395088911,122.98411179864966,1.6752196468534963,0.04316183856995611,2.0694592993189818,0.5470820135497427,0.3763915949997585,0.0,0.3876545506851935,64.50763681679253,-0.03274932822310611,0.5339145821972603
0.5454545454545454,-0.12601492791863084,,0.5211210805316304,0.014031106606125832,1.7995135112154967,5.0,10.0,75.1925482749939,0.01,1.0821335948023356,50.0,0.9310840343743779,1.8670523193855533,3.488417148590088,6.0,140.24706943612546,354.9167900085449,0.42150163650512695,0.0,0.5516895651817322,0.5430451486909305,-67.47810683752361,0.45793491050976665,3.488417148590088,1.0,0.001028087305355181,,0.23034793675750356,0.4,1023.6583222464511,0.11767409266966357,1.9036800861358643,2.108543829197987,0.0044767275551413676,2.3528149253443666e-09,350.0,36.17705089272931,0.46153846153846156,112411.0,2.0476608518572177,,0.007708036340773106,0.44803237467536133,125.82666177302599,0.0,61.42734333676732,6,2.2096982230567592,0.6428571428571429,0.5573231219953182,982.4111011940986,4.668832361502083,1.236063422096011e-05,115.75,0.3125,1.9014362628618613,,0.01092664900676906,309.0,,10.607223530723658,0.4,1.888383389160024,0.0,55.0,0.6130734990461191,419954.0,0.25,0.9989720582962036,10.0,61.42734333676732,0.33475296928976217,10.0,2.027451190780492,4.0,135.16488647460938,375586.0,,982.4111011940986,7784.534371095,419953.375,,,555.5479029605264,555.5479125976562,1.6407405111298257e-07,,0.33475296928976217,-20.44091796875,3.871027425636145,1091.1364290839747,1776341749.3666356,555.5479029605264,4.0625,0.549025415704449,28.489863770082593,612.1337497271597,1.9036800861358643,0.000748878694139421,1023.6583222464511,0.40625,1e-06,3359627.0,427.4721391987083,487997.0,0.32754651537100876,0.02913500741124153,0.536588611615567,2.0788768529891968,-0.10000000149011612,-0.10000000149011612,36.6640625,0.0776192714220403,0.0,,0.013890143447114449,0.32706547193370067,419953.0,1.0,,0.8,1.7801391463982417,36.70946502266452,2.11251410946718,0.48649428854042714,1138.0,0.03745256892298639,2.3995918690374025,0.125,0.03196284165234308,104.65729320547061,-20.44091796875,2.250704618305728,0.000748878694139421,104.65729320547061,1.8486055297443158,0.041744833410412956,1.9014362628618613,0.5157323912847153,0.3728503679984308,0.0,0.36085394085226474,65.18876146294517,-0.02182582862013461,0.537120846676101
0.23076923076923078,-0.16921585980416023,,0.5519001852248756,0.014151973649859428,1.6421294720348594,6.0,10.0,75.1925482749939,0.01,0.7863335922699083,50.0,0.8010463189984657,1.8873960598723396,2.9304702281951904,7.0,173.6701141470112,367.41172790527344,0.428803950548172,0.2,0.5393610000610352,0.5297023033877032,-88.68549669872631,0.5162942277697417,2.9304702281951904,0.16666666666666666,0.0018089528745323983,,0.18029980968236126,,998.9682144901969,0.11188739830740949,0.8042436242103577,2.2318276098621777,0.00576438139953759,1.3546510176225142e-09,420.0,44.096674285363406,0.1111111111111111,83278.0,1.9827860693877366,,0.007803978398442268,0.4206474349965082,165.55400070920587,0.0,58.90717961945169,7,2.258967338426149,0.7272727272727273,,1104.6131419208832,4.9265983118040655,0.0,115.75,0.1702127659574468,1.8950685872712165,,0.011147512257587944,306.0,,11.419677849493135,0.0,1.924693920479101,0.0,51.0,0.6074628331804309,488282.0,,0.9991121888160706,10.0,58.90717961945169,0.4041018143296861,10.0,2.064284447075377,4.0,141.09161376953125,444561.0,,1104.6131419208832,8906.713191899,488281.125,,,552.4895241477273,552.489501953125,7.187314139107309e-08,,0.4041018143296861,-14.402859687805176,4.096691970612896,1087.6537111889231,1776342855.7437193,552.4895241477273,2.1875,0.5376600008900273,37.90491876704618,636.5338343731128,0.8042436242103577,-0.005775375757366419,998.9682144901969,0.21875,1e-06,3906249.0,442.03812762076717,527839.0,0.34539864854919194,0.04210570082068443,0.5050059423560188,2.395017358008772,-0.10000000149011612,-0.10000000149011612,42.46875,0.0725798680120165,0.0,,0.008806089304429903,0.40793975380829983,488281.0,0.5,,0.0,1.781938046255243,43.54495860869065,,0.4496612834022535,1086.0,0.04238183503130647,2.395785021849654,0.125,0.045473560134229866,126.07884394400402,-14.402859687805176,2.3155142381518146,-0.005775375757366419,126.07884394400402,1.611817935663567,0.04445956060328238,1.8950685872712165,0.5320678708487994,0.35238159756569,0.0,0.44492785806629115,62.97376139158392,-0.021245304495096207,0.5305819790466392
0.2,-0.18850250157586235,,0.5296341641639408,0.013376078568398952,,7.0,10.0,75.1925482749939,0.01,1.1704481082657974,50.0,0.9756361913213072,2.002586979945581,2.719982385635376,8.0,153.17453807685524,354.31460189819336,0.5288621187210083,0.125,0.5515155792236328,0.5412345536599504,-92.73982085500445,,2.719982385635376,0.3333333333333333,0.00196548975038228,,0.22950245892854443,1.0,992.8198830854325,0.12035822988816895,1.108407735824585,2.399659430577198,0.005110523697069203,2.838316417875744e-09,438.0,39.90195526694879,0.2727272727272727,101041.0,2.134188279721163,,0.007392869330942631,0.4234670971310668,158.27614268520847,0.0,55.807216355576294,8,2.201982774022769,0.5714285714285714,0.5366663742496307,1120.0216906419955,4.672923598316542,0.0,115.75,0.22988505747126436,2.0171767073760587,,0.011508403463713957,283.0,,12.123188080522006,0.0,2.015185717143476,0.0,54.0,0.6143913442058311,433928.0,0.0,0.9977678656578064,10.0,55.807216355576294,0.3983821248745035,10.0,2.205679208951921,4.0,131.5403594970703,389972.0,,1120.0216906419955,9932.714048071,433927.125,,,514.1845238095239,514.1845092773438,1.2740848000539734e-07,,0.3983821248745035,-20.14543342590332,3.8149347479505065,1085.559703940437,1776343977.922785,514.1845238095239,2.65625,0.543900524631579,35.56875971611589,689.9318646909669,1.108407735824585,0.0019300308777019382,992.8198830854325,0.265625,1e-06,3471417.0,387.4274298663567,491013.0,0.37711293156902403,0.043790776282548904,0.5498076020715071,2.380420002155006,-0.10000000149011612,-0.10000000149011612,41.296875,0.07751347777922221,0.0,,0.021525087142695805,0.3985534890316962,433927.0,0.9583333333333334,,,2.0909535012906306,39.95046742679551,2.2987565500914298,0.4851928298805384,1017.0,0.04559410254809736,2.388276598105828,0.041666666666666664,0.04300781079604433,117.37721148233366,-20.14543342590332,2.2707365588543893,0.0019300308777019382,117.37721148233366,1.6985118878550447,0.044124499614092816,2.0171767073760587,0.5223518059327941,0.35994384401582874,0.0,0.4362596585037716,61.97477159286014,-0.018071248384547375,0.5373920078771854
0.6923076923076923,-0.2313991413676439,,0.5797657230824375,0.012960103340446949,,8.0,10.0,75.1925482749939,0.01,1.3416742363013328,50.0,0.9600754675761254,2.20582690140251,2.3926849365234375,9.0,141.5596728832461,363.84600830078125,0.40422096848487854,0.7083333333333334,0.5669606328010559,0.5527310724671071,-103.90052036046981,,2.3926849365234375,0.125,0.0016752503338227857,,0.21706921020552536,0.0,975.5408969163894,0.12484358980208478,1.818261742591858,2.3628731133375735,0.00464227601478342,2.9802322387695314e-09,399.0,35.89517032401636,0.4,108243.0,1.997752376239799,,0.00722107058390975,0.40381786489500526,150.71004786295816,0.0,55.47440263305556,9,2.381120311052208,0.35714285714285715,0.5412984553862501,1024.2930225478485,5.025101326848381,0.0,115.75,0.32978723404255317,2.1679914750496807,,0.0120358524518378,291.0,,13.005456862080457,,2.1718683994440524,0.0,46.0,0.6260915896273218,382534.0,0.0,0.9990234375,10.0,55.47440263305556,0.38675983056216684,10.0,2.399390616417325,4.0,127.01972961425781,338400.0,,1024.2930225478485,11543.173244293,382533.75,,,470.6892578125,470.68927001953125,1.3055322238093324e-07,,0.38675983056216684,-20.244407653808594,4.139871425321326,1079.4414172768593,1776345003.9232705,470.6892578125,3.671875,0.5626479299847054,31.973940260708332,624.3764396589249,1.818261742591858,-0.008251210674643517,975.5408969163894,0.3671875,1e-06,3060270.0,373.46124749388343,446643.0,0.4726008488807446,0.0413815975189209,0.5490077304977373,2.0257297726348042,-0.10000000149011612,-0.10000000149011612,38.6796875,0.08069827482430186,0.0,,0.0156527730403468,0.35399949808441045,382533.0,0.5833333333333334,,,1.9655018183736974,36.83295818278566,2.307270581279855,0.4934236594704885,1023.0,0.04924730427804023,2.4039779553189873,0.0,0.05051709099380811,120.66530787774258,-20.244407653808594,2.388356998400049,-0.008251210674643517,120.66530787774258,1.9079702630464592,0.04625724948558333,2.1679914750496807,0.5104558276334358,0.35472204985458594,0.0,0.4315015491261987,63.11837132215336,0.04164576184703037,0.5500604698579992
