_step,observe/obs_s_theta_mean_mean,observe/obs_s_ref_mean_mean,observe/obs_delta_s_mean_mean,observe/obs_delta_s_mean_std,observe/obs_consecutive_s_mean,observe/obs_consecutive_s_std,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_step_entropy_mean_mean,observe/success_s_theta_mean,observe/failure_s_theta_mean,episode/success_rate,episode/reward/mean,val/success_rate
65,2.0523002025567423,2.34507380846412,-0.2927736059073773,0.09819349502749108,-0.0015129260090010613,0.21196453415144195,3.195112324502392,4.024048127891386,0.589994416832269,2.207779408326614,1.942774641938697,0.703125,7.03125,0.7109375
70,1.798702526107086,2.0378936793764515,-0.23919115326936533,0.1005346742943886,0.002248909209117613,0.21426795665328827,3.249586948547333,4.010545235127211,0.5491435327664755,1.881049611689301,1.7354326612017288,0.7109375,7.109375,0.6484375
75,1.6866774587535702,1.9022342110197952,-0.21555675226622537,0.09282421693863252,0.009872863344416179,0.203971256258064,3.161841264553368,4.00129223290003,0.5814351006448204,1.7221687350513952,1.6436023432468323,0.796875,7.96875,0.6953125
80,1.9902736691958447,2.2974828493437167,-0.30720918014787196,0.08569171063383967,0.0034936899251930206,0.1982304221005365,3.3336279457671787,4.078443368833701,0.9357246173129139,2.0148128458466816,1.9720335609743085,0.6640625,6.640625,0.6640625
85,1.9265243870685482,2.224182028413046,-0.2976576413444977,0.10861317338928995,0.004341021546867502,0.2032101300243846,3.286571761799188,4.001822520978749,1.1111273755125763,1.9194572103857244,1.9317325569412767,0.703125,7.03125,0.7734375
90,1.9703662808774682,2.269173387911333,-0.29880710703386465,0.1065475799598345,0.004149773519028414,0.1989900386150181,3.216683319418437,3.9544327573342755,1.057708169374283,1.8833522342452738,2.022196043921305,0.65625,6.5625,0.6953125
95,1.923871309527492,2.2003794359207354,-0.2765081263932435,0.11667615673305877,0.005523322834696663,0.21741536420926472,3.4226637785560547,4.092866706205722,1.0355345383031447,1.856737786036526,1.9794962289914348,0.734375,7.34375,0.8203125
100,2.0805001383496133,2.3259770810057723,-0.24547694265615894,0.10624521098455905,-2.9576380989239105e-05,0.23010627167037997,3.4453157836700137,4.09055339782796,0.950570417285254,2.171440718672395,2.0090005371932227,0.7421875,7.421875,0.7890625
105,1.9088449720912413,2.0995049029871597,-0.19065993089591812,0.11869936311730858,0.005670519512453518,0.2377215554343711,2.9023564119162337,3.5828256580918545,0.501757008171573,1.8509949967209849,2.054495619300044,0.9140625,9.140625,0.7265625
110,1.8808702958234285,2.0064595720140175,-0.12558927619058932,0.10044413906475513,0.007338436956239335,0.24707338806437532,3.0418423866164326,3.771840468844554,0.9239576376286323,1.9133230612561305,1.8580291647451699,0.71875,7.1875,0.796875
115,1.7769589543646722,1.8908292485067772,-0.11387029414210516,0.10064528072821786,0.003638656820854023,0.2183312105383625,3.458828693217769,4.080398131047889,1.1371635808356253,1.8134921830875306,1.7587272666081404,0.6796875,6.796875,0.78125
120,2.015870869279698,2.1202653389671653,-0.1043944696874672,0.09862598895698466,0.004852822065063687,0.24268839208976709,3.330362659529783,4.003727572673762,0.7672912752908071,2.0448582049505886,1.9801251857204318,0.8046875,8.046875,0.78125
125,2.0548283754654637,2.151571838660198,-0.09674346319473386,0.1481763242296999,0.010343092881224843,0.26460111854062396,3.201321245688531,3.884008385680823,0.5548815622534372,1.952128901071303,2.1963183634078827,0.8515625,8.515625,0.8671875
130,1.9753744626415075,2.029143377486937,-0.053768914845429755,0.11990619359985717,0.008099695687269832,0.2652610231145888,3.239797473784226,3.932735322602093,0.3832127118817728,2.0964353366305106,1.6828465856360506,0.9140625,9.140625,0.84375
135,1.8576109802077805,1.9311606376050423,-0.0735496573972619,0.11633968758862517,0.009063753016376954,0.316656748392562,3.7343917432694864,4.520806970600134,0.9299504306807135,1.9139313746915656,1.8180407166891595,0.7734375,7.734375,0.859375
140,2.1720992911188017,2.1939792003606517,-0.021879909241849783,0.137790971923157,0.010636519653627734,0.3381608680735988,3.7163424114128802,4.5046387645983845,0.8548389023818322,2.0394233810913773,2.3243182975496115,0.8125,8.125,0.875
145,2.0710361888842006,2.1126458951758993,-0.041609706291699,0.1636521396366798,0.008313134152814145,0.38560948305045667,3.924477175845661,4.858715317977799,0.9739804909579308,1.9262837333545517,2.2206955073131596,0.78125,7.8125,0.75
150,2.33565395348035,2.2884593982476638,0.04719455523268637,0.16472601931009334,0.019952004252452315,0.42503137090843796,3.82509096939854,4.689370350679383,0.8174029544317515,2.062074450774037,2.8111263512319637,0.9140625,9.140625,0.796875
