_step,observe/obs_s_theta_mean_mean,observe/obs_s_theta_mean_std,observe/obs_s_ref_mean_mean,observe/obs_s_ref_mean_std,observe/obs_delta_s_mean_mean,observe/obs_delta_s_mean_std,observe/obs_delta_s_sum_mean,observe/obs_delta_s_sum_std,observe/obs_consecutive_s_mean,observe/obs_consecutive_s_std,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_step_entropy_mean_mean,observe/obs_step_entropy_mean_std,observe/success_s_theta_mean,observe/failure_s_theta_mean,observe/success_entropy_mean,observe/failure_entropy_mean,observe/obs_n_tokens_mean,episode/success_rate,episode/reward/mean,episode/webshop_task_score (not success_rate),val/success_rate,val/webshop_task_score (not success_rate),actor/entropy_loss,actor/kl_loss,actor/ppo_kl
220,1.9910430191945412,0.859797932743313,2.1974424216600497,1.0734687186708955,-0.20639940246550817,0.26771741912139274,-134.55690187396425,48.75838579546073,-0.18953857349902595,0.9162472670034992,1.704234305007214,2.554288933222944,0.5338708530321266,0.18385282696536942,1.8672845068323758,2.2112028990809196,0.48506512788273176,0.6206936693505237,1223.8901515151515,0.71875,7.1875,0.8223214285714285,0.59375,0.7813555194805195,0.5453464984893799,0.43038973212242126,0.007916869620781985
240,1.8003659433149508,0.9732634599975344,1.9704166308021671,1.176430710645781,-0.17005068748721633,0.24465360385996868,-103.13782673497354,56.573892664820136,-0.2150480102684201,1.0256755491014824,1.2092602849006653,1.8771367893824655,0.7698587220041982,0.26818635311255734,1.5025140344601138,2.103060972638972,0.6581330561637878,0.8834010653379487,1333.5120967741937,0.46875,4.6875,0.8815972222222223,0.4375,0.6350795905483406,0.8119644522666931,0.4242924451828003,0.001880439163810919
260,2.4418783658594974,0.7573986454086705,2.5797508738137895,0.9268189466560839,-0.13787250795429218,0.20694297462769104,-58.21548518428096,54.01211915390949,-0.14549352871961702,0.9193156919348243,2.1779689046519772,2.927230089902878,0.8029322259955936,0.21847168158374178,2.3629865515045916,2.540493133803128,0.8059308682878812,0.7991839231302341,939.4444444444445,0.5625,5.625,0.8236111111111111,0.5625,0.7335813492063492,0.8295010328292847,0.365009605884552,0.0005828739840125692
280,2.338826914072513,0.91298526234102,2.4949326583863822,1.0831140362959026,-0.15610574431386887,0.20749319446188946,-78.22588562965393,46.22967590274847,-0.17428444607717197,1.0557847283914545,2.289559067983646,3.0209358581341803,0.7558866107137874,0.2298112328761106,2.099326351569672,2.528082603323009,0.6967128393924342,0.8026463041355559,1108.32421875,0.625,6.25,0.6925,0.65625,0.7357007575757576,0.782046914100647,0.46900326013565063,0.0006294472558465714
300,2.2705543544427402,0.7671087880967777,2.37402395984035,0.9221533828547533,-0.10346960539760965,0.1904505040679012,-45.5922707005551,49.4040538934338,-0.16155004586060775,0.9158232025661149,2.4449804817252843,3.126442974727405,0.9324424677577458,0.286030155505619,2.198197110258091,2.328354519915685,0.9362281816977042,0.9294183767406192,1122.4769736842106,0.46875,4.6875,0.7756944444444445,0.5625,0.7679924242424243,0.9472861289978027,0.3948920965194702,0.0027383298330086723
320,1.9826120369555351,0.8549166218170116,2.059165847130122,0.975925574045469,-0.07655381017458746,0.16330822036684442,-38.302957153320314,47.7258487911556,-0.149546843633721,0.8850660363764318,2.0596992891695765,2.9295896588100327,0.8125071501566304,0.25181274165375184,2.0309869334280215,1.9678892423769527,0.7524946637096859,0.830771819944831,1295.4055555555556,0.3125,3.125,0.368452380952381,0.6875,0.7536931818181818,0.8382883667945862,0.3340771496295929,0.003005302517582701
360,2.142782469630235,1.0569920595062383,2.237288830835863,1.219992800440511,-0.09450636120562794,0.20012675342855,-24.060342407226564,59.603948727657354,-0.2366251329996137,1.2353126994743855,1.5723164716735483,2.2475305932760237,0.8270782837271691,0.26972006514032976,2.1268207995760777,2.5258625509300106,0.8225808407490453,0.9350169152021408,1332.4,0.96875,9.6875,0.98125,0.78125,0.8754712301587302,0.8641096949577332,0.40894562005996704,0.00110061988569214
380,2.1876302135302588,0.7963637080869144,2.278079305121896,0.9663457947660121,-0.09044909159163698,0.19695792720083133,-28.52289366722107,54.364883403428394,-0.18475020833693548,0.8922255154629368,2.375077097560279,3.18473536032252,1.0500982233788818,0.3552179483065876,2.4831589884432343,2.0508426091419674,0.9113395004360764,1.1143236894266946,1188.609375,0.5,5.0,0.7083333333333334,0.75,0.9025027056277057,1.113407015800476,0.3460572063922882,3.377710017815616e-05
400,2.3146351172173825,0.8982189873150471,2.4631836856611304,1.098939473609198,-0.1485485684437479,0.23079655449120623,-68.45986755371094,44.113099077598946,-0.2329512881649893,1.1176291142364434,2.0845397363975646,2.6422910413146017,0.9846257056295872,0.33867792846111194,2.351090912594763,2.2859912779922986,0.9707898741418665,0.9954967160842249,1113.86,0.5,5.0,0.8519345238095237,0.6875,0.8304247835497836,1.0205037593841553,0.367781400680542,5.2169651753501966e-05
420,2.000873413900411,0.9323016246002789,2.1159647620912834,1.1030091255138494,-0.11509134819087254,0.2055643547964152,-53.8393280506134,54.21518387685737,-0.20366150204544303,1.027036062928594,1.7506303975824267,2.442191405687481,0.7713761767372489,0.29353063933007006,1.9522872157722475,2.196170876964599,0.7665018173252663,0.7909691900599236,1204.8671875,0.78125,7.8125,0.9083333333333334,0.59375,0.7739087301587302,0.7912186980247498,0.42945396900177,0.0019148927216292577
